int_ax,ax_min,ax_max,int_ay,ay_min,ay_max,int_az,az_min,az_max,gyr_x_min,gyr_x_max,gyr_y_min,gyr_y_max,gyr_z_min,gyr_z_max,make,left,right,short,long,suggestion,file_name
7546.3115079365125,-1998.0,1150.0,250586.89682539683,-1506.0,1996.0,-763123.7837301587,-1996.0,1998.0,-457.4,371.4,-1357.0,2284.5,-957.6,763.2,1,0,0,0,0,ns,1596081384
-2780453.4961453443,-1998.0,1410.0,1909397.599204816,-814.0,1996.0,1162703.686745351,-1774.0,1856.0,-198.0,503.7,-488.1,705.3,-283.9,359.8,1,0,0,0,0,ns,1596081405
581036.990079365,-1996.0,1583.0,1053577.4206349207,-1803.0,1996.0,104906.6507936508,-1996.0,1998.0,-231.1,308.4,-276.7,1606.2,-511.2,230.6,0,1,0,0,0,ns,1596087029
-220350.6944444445,-1998.0,1603.0,550588.1527777779,-1998.0,1996.0,614631.7619047619,-1996.0,1998.0,-799.1,246.5,-358.7,1067.8,-1307.6,394.6,0,0,0,0,1,ns,1596087052
-134722.94444444447,-1998.0,1867.0,692005.0277777779,-1908.0,1828.0,322711.0952380952,-1996.0,1998.0,-352.3,227.0,-743.1,2292.6,-1245.1,529.2,0,1,0,0,0,ns,1596087092
-13557.361111111108,-1998.0,1357.0,628162.9087301587,-1995.0,1901.0,460818.7341269841,-1996.0,1998.0,-677.7,203.2,-2293.4,2199.5,-1085.0,400.1,1,0,0,0,0,ns,1596087136
-125843.36111111115,-1998.0,1123.0,656282.2182539683,-1995.0,1696.0,10478.936507936507,-1996.0,1998.0,-1676.2,227.0,-369.0,1371.1,-1631.2,298.6,0,1,0,0,0,ns,1596087221
-198731.7023809524,-1998.0,1179.0,811770.277777778,-1998.0,1488.0,304179.0039682539,-1996.0,1998.0,-673.6,647.0,-2289.9,1961.7,-970.4,1050.2,0,0,0,1,0,ns,1596087273
0.0,-309.0,-309.0,0.0,-61.0,-61.0,0.0,979.0,979.0,-1.3,-1.3,1.4,1.4,0.2,0.2,1,0,0,0,0,ns,1596087426
320093.8809523809,-1998.0,1414.0,546492.5912698412,-1998.0,1733.0,244430.71428571426,-1996.0,1998.0,-403.5,111.6,-332.2,1971.8,-674.5,344.1,1,0,0,0,0,ns,1596087473
-1167987.6666666674,-1998.0,1197.0,3068726.101190476,-961.0,1996.0,-122524.55555555588,-1996.0,1998.0,-261.8,647.4,-244.0,1461.8,-572.1,317.5,1,0,0,0,0,ns,1596087503
187447.92460317464,-1998.0,1322.0,793368.7638888888,-1942.0,1943.0,205973.7222222222,-1996.0,1998.0,-1139.7,502.9,-1495.9,2291.1,-893.6,322.8,0,1,0,0,0,ns,1596087638
-219923.91666666663,-1998.0,1119.0,845684.3888888889,-1998.0,1996.0,162606.61111111112,-1996.0,1668.0,-1503.3,432.4,-638.6,2058.0,-679.0,271.6,0,1,0,0,0,ns,1596087744
-89402.5,-1998.0,1843.0,569581.9027777779,-1613.0,1996.0,151838.44444444447,-1996.0,1998.0,-318.6,301.0,-1206.3,1514.8,-505.6,294.8,0,1,0,0,0,ns,1596087822
-1624628.639272913,-1998.0,606.0,1008469.9030977981,-767.0,1375.0,1010647.6481054787,-1321.0,1494.0,-192.4,182.1,-459.5,936.6,-201.1,169.3,1,0,0,0,0,ns,1596087867
-165224.6626984127,-1998.0,1998.0,736431.3234126982,-1632.0,1996.0,189219.88690476192,-1996.0,1998.0,-1117.9,280.2,-589.7,2044.0,-836.3,273.2,1,0,0,0,0,ns,1596087887
-879372.9325396826,-1998.0,1769.0,1373612.9107142854,-1085.0,1996.0,187520.74007936515,-1996.0,1998.0,-671.0,908.3,-1924.9,2255.4,-1166.8,488.2,1,0,0,0,0,ns,1596087923
-179113.23809523805,-1998.0,1214.0,742224.6666666665,-1998.0,1926.0,75242.18650793651,-1996.0,1998.0,-793.0,214.2,-2290.0,2093.7,-1148.9,682.8,1,0,0,0,0,ns,1596087946
-407673.99404761905,-1998.0,1998.0,1549165.162698413,-1146.0,1996.0,446596.1626984127,-1996.0,1661.0,-253.8,1013.9,-503.3,1484.0,-605.6,395.4,1,0,0,0,0,ns,1596087974
-236737.09001670856,-1998.0,1955.0,2991311.860066833,-893.0,1996.0,-644293.8771929827,-1996.0,1770.0,-470.1,1743.1,-256.1,2291.0,-701.2,1658.3,0,1,0,0,0,ns,1596087998
-1015739.509920635,-1998.0,681.0,2168454.9523809524,-681.0,1775.0,-795384.8710317459,-1357.0,966.0,-200.9,307.0,-416.7,319.4,-204.2,247.1,1,0,0,0,0,ns,1596088046
-157058.47371031746,-1998.0,1147.0,960030.3630501444,-1998.0,1726.0,-70605.71690115442,-1996.0,1998.0,-1485.2,256.0,-392.9,2194.4,-1111.2,497.5,0,1,0,0,0,ns,1596088069
-2107760.912200252,-1958.0,339.0,1687320.3516813985,-1004.0,1263.0,843478.9437976875,-1994.0,1272.0,-514.7,464.2,-449.3,495.6,-308.5,256.8,1,0,0,0,0,ns,1596088125
-939302.4663888888,-1998.0,639.0,1559239.7792857143,-490.0,1578.0,-119567.2325,-826.0,1581.0,-239.1,187.6,-229.9,344.6,-91.9,86.7,0,0,0,1,0,ns,1596088159
-488965.9027777778,-1998.0,1052.0,1268619.382936508,-1998.0,1996.0,-333486.4027777777,-1996.0,1914.0,-609.9,845.3,-883.3,2288.3,-996.1,344.4,1,0,0,0,0,ns,1596088191
