int_ax,ax_min,ax_max,int_ay,ay_min,ay_max,int_az,az_min,az_max,gyr_x_min,gyr_x_max,gyr_y_min,gyr_y_max,gyr_z_min,gyr_z_max,make,left,right,short,long,suggestion,file_name
82856.34325396824,-1998.0,1294.0,538035.8174603174,-1998.0,1144.0,-376347.7271825397,-1996.0,1998.0,-1088.2,212.5,-203.2,2261.0,-571.7,205.1,1,0,0,0,0,ns,1596167614
176002.09523809524,-1998.0,1998.0,716632.3968253967,-1973.0,1996.0,-88333.87301587303,-1996.0,1998.0,-285.5,406.7,-237.3,1901.9,-303.5,355.6,1,0,0,0,0,ns,1596167636
179779.9722222222,-1998.0,1468.0,681007.5138888889,-1998.0,1859.0,-40113.83333333334,-1996.0,1998.0,-494.9,145.8,-234.6,1611.8,-189.4,263.7,0,0,0,1,0,ns,1596167781
1781.6150793650784,-1998.0,1112.0,929513.6706349208,-1608.0,1950.0,145766.45634920636,-1996.0,1998.0,-500.9,179.6,-801.7,940.3,-444.2,552.7,1,0,0,0,0,ns,1596167828
-6256671.476190475,-1998.0,1980.0,1040169.8710317444,-692.0,1996.0,5606436.26984127,-1996.0,1996.0,-525.1,1912.1,-209.5,998.9,-561.0,827.8,0,0,0,1,0,ns,1596167850
-484686.625,-891.0,723.0,2948183.180555555,-502.0,1836.0,-582673.8055555554,-1397.0,1045.0,-44.8,53.2,-62.4,126.5,-56.7,34.0,1,0,0,0,0,ns,1596167890
4311.375000000001,-1998.0,1128.0,738166.5615079366,-1317.0,1044.0,115130.09523809525,-1996.0,1416.0,-269.7,737.8,-574.5,2132.9,-267.9,888.5,1,0,0,0,0,ns,1596167913
194155.85317460305,-1998.0,1588.0,1396603.2003968258,-1774.0,1709.0,941598.8214285714,-1996.0,1955.0,-227.2,1541.8,-394.5,2048.4,-163.5,275.5,0,0,0,1,0,ns,1596167936
-393473.76447158784,-1998.0,1165.0,2135264.716880341,-1756.0,1800.0,60612.12757249983,-1996.0,1998.0,-627.6,213.2,-640.1,1887.6,-340.8,429.3,1,0,0,0,0,ns,1596167964
-145668.10686943008,-1998.0,1998.0,2807734.578603752,-1776.0,1867.0,441358.8644278153,-1996.0,1886.0,-263.4,891.5,-814.1,2253.7,-368.9,473.6,1,0,0,0,0,ns,1596167991
-2063467.5555086785,-1987.0,1377.0,4754599.937218739,-750.0,1692.0,-2994970.8817100613,-1548.0,1103.0,-82.5,120.4,-104.3,95.7,-107.4,29.7,0,1,0,0,0,ns,1596168039
66896.40674603175,-1998.0,1998.0,933492.2698412698,-1998.0,1996.0,116495.29166666669,-1996.0,1851.0,-360.4,1701.9,-283.6,1821.3,-319.9,1017.6,1,0,0,0,0,ns,1596168069
-17404087.42852344,-1998.0,1258.0,26116303.09252228,-1816.0,1955.0,-15448473.007724416,-1996.0,1998.0,-222.7,1475.4,-1108.9,1317.8,-219.7,514.1,1,0,0,0,0,ns,1596168093
415558.491767917,-1998.0,1736.0,2217825.0933640245,-1118.0,1996.0,191667.9818818704,-1996.0,1998.0,-280.7,1450.9,-376.6,2293.4,-448.4,448.3,1,0,0,0,0,ns,1596168117
-265543.9126984127,-953.0,960.0,563954.7539682538,42.0,1191.0,301717.24603174604,139.0,1055.0,-92.4,45.5,-122.0,63.7,-32.2,126.7,1,0,0,0,0,ns,1596168322
-3933777.7333164695,-382.0,903.0,1497463.5365458322,311.0,1095.0,-1836757.62629994,-921.0,229.0,-46.3,57.4,-115.6,65.1,-43.4,67.2,1,0,0,0,0,ns,1596168360
-2159215.9067653855,-1998.0,1234.0,12942800.044897504,-1880.0,1915.0,-3886131.881785571,-1996.0,1998.0,-941.7,194.3,-595.0,2233.7,-929.1,437.5,1,0,0,0,0,ns,1596168382
238207.3611111111,-1998.0,1379.0,1744745.0734126982,-1497.0,1996.0,250042.628968254,-1996.0,1937.0,-418.8,500.4,-1201.3,2268.6,-1236.9,473.5,0,0,0,1,0,ns,1596168404
-2761.486111111112,-666.0,282.0,447137.65277777775,459.0,1218.0,-24493.902777777774,-178.0,676.0,-192.2,4.6,-212.8,145.1,-127.1,96.8,1,0,0,0,0,ns,1596168424
-9906.305555555547,-1998.0,1425.0,674435.5416666665,-1846.0,1996.0,269116.0,-1996.0,1998.0,-314.5,1204.3,-1073.0,2293.4,-204.7,1426.4,1,0,0,0,0,ns,1596168450
12860724.328696728,-1998.0,1998.0,-507753.81084874755,-1821.0,1996.0,-12557402.837420348,-1996.0,1998.0,-563.2,763.9,-1316.1,2291.8,-860.0,768.0,1,0,0,0,0,ns,1596168472
-11127.219187675071,-846.0,-144.0,30647.529220779223,401.0,1214.0,-3755.4561370002552,-167.0,90.0,-85.8,97.0,-91.9,4.0,-51.9,9.9,1,0,0,0,0,ns,1596168499
-23503091.64997814,-1998.0,1621.0,35283481.30232715,-897.0,1996.0,9822168.74434188,-1996.0,1998.0,-284.3,1688.7,-549.8,1755.1,-440.6,1556.5,1,0,0,0,0,ns,1596168518
254885.58333333337,-1998.0,1238.0,610571.8888888889,-1476.0,1996.0,19588.125,-1996.0,1998.0,-528.6,357.9,-394.3,2270.8,-1202.9,906.6,0,0,0,1,0,ns,1596168571
43082.032356532356,-1998.0,1809.0,659700.5589133089,-1998.0,1996.0,180347.03083028086,-1996.0,1998.0,-204.7,888.8,-291.6,1679.2,-140.9,356.5,0,1,0,0,0,ns,1596168589
1923911.615082047,-1808.0,324.0,-2203394.0964011964,-789.0,1344.0,-748195.9887859841,-1130.0,1301.0,4.4,83.4,2.8,126.0,-31.3,-4.2,1,0,0,0,0,ns,1596168623
-30776191.288551364,-1877.0,1054.0,13618639.677467614,-472.0,1504.0,-25802752.94673417,-1349.0,254.0,-174.9,182.0,-353.2,275.5,-90.6,94.8,1,0,0,0,0,ns,1596168666
-88382.80555555556,-1998.0,1843.0,840760.6607142857,-1996.0,1996.0,-68078.18849206349,-1996.0,1832.0,-517.2,540.0,-2239.3,2293.4,-1583.4,1095.5,1,0,0,0,0,ns,1596168687
-1633733.4543561884,-1922.0,1271.0,2621634.6300884928,-758.0,1980.0,-433134.6659568855,-1489.0,1244.0,-188.2,233.4,-322.6,400.0,-162.4,135.7,1,0,0,0,0,ns,1596168730
30432.78373015872,-1998.0,1634.0,839628.8174603174,-1998.0,1996.0,531608.871031746,-1996.0,1998.0,-221.2,1124.5,-1084.7,1891.1,-213.9,528.4,0,0,0,0,1,ns,1596168756
1118323.3561204688,-1998.0,1264.0,3401701.5361734927,-1998.0,1935.0,298367.25655888236,-1996.0,1998.0,-1173.6,401.3,-1674.4,2292.2,-722.4,491.8,1,0,0,0,0,ns,1596168786
-37109.82671551419,-1998.0,1124.0,322549.288497916,-555.0,1369.0,419499.16187697335,-1280.0,995.0,-42.0,71.1,-174.5,121.5,-33.1,61.1,0,1,0,0,0,ns,1596168823
-125653.6424291939,-1998.0,1998.0,757755.5789760349,-1998.0,1996.0,-67382.48899004045,-1996.0,1998.0,-388.0,1493.8,-560.3,2101.9,-157.6,464.1,0,0,0,1,0,ns,1596168849
129170.07927728613,-1998.0,1356.0,2352052.995838601,-1998.0,1996.0,115160.02379196516,-1996.0,1998.0,-215.4,1132.6,-715.4,1518.0,-752.3,294.6,1,0,0,0,0,ns,1596168879
485327.8440708742,-1998.0,1532.0,7525171.605497117,-1998.0,1996.0,-2042883.819027048,-1996.0,1874.0,-296.2,1613.7,-1323.8,1805.8,-1213.1,726.6,1,0,0,0,0,ns,1596168911
-6666740.476234895,-1998.0,1721.0,-10789489.804089677,-1896.0,1996.0,509217.98097311077,-1996.0,1998.0,-388.8,554.4,-1167.5,2188.5,-2077.1,753.9,0,0,0,1,0,ns,1596168947
359935.29788011697,-371.0,877.0,1686421.4623015872,269.0,1380.0,-461825.79072681704,-1087.0,267.0,-85.5,114.1,-120.6,101.0,-66.0,59.7,0,0,0,1,0,ns,1596168983
-89538.10795234576,-614.0,585.0,1841853.4642109245,465.0,1493.0,-518945.7360011262,-780.0,100.0,-74.9,86.3,-169.6,177.7,-69.7,77.8,1,0,0,0,0,ns,1596169028
-134446.63095238095,-1998.0,1524.0,883560.3214285716,-1167.0,1996.0,105876.95634920636,-1996.0,1998.0,-394.1,964.7,-400.4,2293.4,-1033.9,449.9,1,0,0,0,0,ns,1596169056
847313.8266190359,-1998.0,1998.0,639043.9198687156,-1998.0,1996.0,249647.8860670827,-1996.0,1937.0,-1108.1,468.3,-1109.8,2288.9,-1058.6,323.3,0,0,0,1,0,ns,1596169080
-490512.2600330054,-1998.0,1998.0,1964171.6027745209,-1998.0,1996.0,347947.7213411721,-1996.0,1998.0,-879.6,282.8,-1320.7,2291.2,-698.0,346.3,0,0,0,1,0,ns,1596169106
-6192306.539682541,-1890.0,668.0,3102938.8511904744,-425.0,1417.0,959553.3214285728,-1083.0,1234.0,-91.2,72.0,-126.9,225.0,-95.2,61.6,0,0,0,1,0,ns,1596169161
-218874.14880952387,-1998.0,1553.0,1100560.9662698414,-1284.0,1996.0,-121696.7261904762,-1996.0,1998.0,-286.3,1678.8,-411.8,1796.8,-740.5,1978.2,1,0,0,0,0,ns,1596169185
-17073060.57201392,-1998.0,1998.0,376506.3680512178,-1998.0,1996.0,-4658995.394808079,-1996.0,1917.0,-671.0,1193.1,-1126.0,2259.1,-1316.0,389.6,0,1,0,0,0,ns,1596169222
-49337.98509650071,-1998.0,1998.0,1016293.0330988456,-1970.0,1996.0,193627.54883658007,-1996.0,1998.0,-446.7,1545.2,-413.4,2266.2,-1068.4,1842.1,1,0,0,0,0,ns,1596169251
-606343.4394048512,-1998.0,1412.0,3439604.5636873483,-1293.0,1996.0,13855.84509122146,-1996.0,1998.0,-1572.2,320.5,-1971.9,2293.4,-1013.7,667.3,1,0,0,0,0,ns,1596169283
13816038.51530747,-1998.0,1427.0,5392165.7841316685,-1976.0,1996.0,-17738177.728105042,-1996.0,1998.0,-1760.8,513.5,-2176.1,2076.9,-886.6,351.8,0,0,0,0,1,ns,1596169310
-3867244.392616815,-1998.0,1026.0,4444354.2158924695,-742.0,1605.0,2781752.214795177,-591.0,1051.0,-40.4,56.2,-117.8,95.6,-66.5,79.8,0,0,0,1,0,ns,1596169361
-104954.80555555556,-1998.0,875.0,580705.25,-1626.0,1716.0,-12273.097222222219,-722.0,1630.0,-172.7,235.2,-270.0,251.7,-165.6,94.1,0,1,0,0,0,ns,1596169439
0.0,-1238.0,-1238.0,0.0,836.0,836.0,0.0,-220.0,-220.0,43.8,43.8,39.2,39.2,-3.7,-3.7,1,0,0,0,0,ns,1596169467
-18425795.126082007,-1199.0,-231.0,-33914880.96791518,1.0,864.0,-31015593.25198312,-559.0,368.0,23.9,127.6,-28.0,157.3,-68.0,18.9,0,0,0,1,0,ns,1596169515
38614713.87533921,-1600.0,-570.0,-39234504.78647074,-200.0,949.0,131001609.21526322,-764.0,58.0,-26.5,-26.5,-12.1,-12.1,-12.7,-12.7,0,1,0,0,0,ns,1596169542
-8392033.055804722,-1998.0,1677.0,-54157079.06095597,-1626.0,1996.0,2088195.545417875,-1508.0,1012.0,-469.2,315.7,-516.0,677.1,-229.7,253.0,0,0,0,1,0,ns,1596169607
-139949.3333333333,-1998.0,1998.0,720486.7916666665,-1997.0,1723.0,-54713.56944444443,-1996.0,1998.0,-343.2,968.0,-391.5,1831.2,-441.2,1009.4,1,0,0,0,0,ns,1596169626
-219472.91666666663,-1998.0,1450.0,623123.888888889,-1998.0,1996.0,-54227.388888888876,-1996.0,1998.0,-676.2,310.8,-2285.4,2066.3,-645.8,790.6,1,0,0,0,0,ns,1596169697
9856333.186407117,-1998.0,1977.0,5417969.832371642,-1998.0,1990.0,-11369319.733797373,-1996.0,1998.0,-989.8,209.2,-1417.0,2293.4,-820.3,264.3,1,0,0,0,0,ns,1596169722
-807051.9523063924,-1998.0,1240.0,2248799.363215364,-1389.0,1996.0,-643550.4178099214,-1996.0,1998.0,-1878.1,614.1,-2263.8,2292.8,-1409.5,488.2,0,0,0,0,1,ns,1596169746
